cve,epss,percentile,date
CVE-2025-9829,0.00048,0.14707,2025-10-22
CVE-2025-9794,0.00053,0.16387,2025-10-22
CVE-2025-9791,0.00096,0.27528,2025-10-22
CVE-2025-9789,0.00048,0.14707,2025-10-22
CVE-2025-9758,0.00032,0.08268,2025-10-22
CVE-2025-10779,0.00066,0.20574,2025-10-22
CVE-2025-10769,0.0005,0.15216,2025-10-22
CVE-2025-10768,0.00038,0.10773,2025-10-22
CVE-2025-10687,0.00032,0.08318,2025-10-22
CVE-2025-10097,0.00046,0.13673,2025-10-22
CVE-2025-9829,0.00039,0.11309,2025-10-01
CVE-2025-9794,0.00043,0.12688,2025-10-01
CVE-2025-9791,0.00084,0.25469,2025-10-01
CVE-2025-9789,0.00039,0.11309,2025-10-01
CVE-2025-9758,0.00028,0.06611,2025-10-01
CVE-2025-10779,0.00066,0.20918,2025-10-01
CVE-2025-10769,0.00058,0.18167,2025-10-01
CVE-2025-10768,0.00049,0.14971,2025-10-01
CVE-2025-10687,0.0003,0.07395,2025-10-01
CVE-2025-10097,0.0004,0.11652,2025-10-01
CVE-2025-9829,0.00039,0.11297,2025-10-02
CVE-2025-9794,0.00043,0.1267,2025-10-02
CVE-2025-9791,0.00084,0.25447,2025-10-02
CVE-2025-9789,0.00039,0.11297,2025-10-02
CVE-2025-9758,0.00028,0.06586,2025-10-02
CVE-2025-10779,0.00066,0.20888,2025-10-02
CVE-2025-10769,0.00058,0.18125,2025-10-02
CVE-2025-10768,0.00049,0.14948,2025-10-02
CVE-2025-10687,0.0003,0.07383,2025-10-02
CVE-2025-10097,0.0004,0.11641,2025-10-02
CVE-2025-9829,0.00039,0.11331,2025-10-03
CVE-2025-9794,0.00046,0.14102,2025-10-03
CVE-2025-9791,0.00096,0.2779,2025-10-03
CVE-2025-9789,0.00042,0.12682,2025-10-03
CVE-2025-9758,0.00032,0.08229,2025-10-03
CVE-2025-10779,0.00066,0.20877,2025-10-03
CVE-2025-10769,0.00058,0.18141,2025-10-03
CVE-2025-10768,0.00049,0.14985,2025-10-03
CVE-2025-10687,0.0003,0.07433,2025-10-03
CVE-2025-10097,0.0004,0.11678,2025-10-03
CVE-2025-9829,0.00042,0.1264,2025-10-04
CVE-2025-9794,0.00046,0.14051,2025-10-04
CVE-2025-9791,0.00096,0.27672,2025-10-04
CVE-2025-9789,0.00042,0.1264,2025-10-04
CVE-2025-9758,0.00032,0.08203,2025-10-04
CVE-2025-10779,0.00066,0.20792,2025-10-04
CVE-2025-10769,0.00058,0.18066,2025-10-04
CVE-2025-10768,0.00049,0.1493,2025-10-04
CVE-2025-10687,0.0003,0.07413,2025-10-04
CVE-2025-10097,0.0004,0.11639,2025-10-04
CVE-2025-9829,0.00042,0.12632,2025-10-05
CVE-2025-9794,0.00046,0.1405,2025-10-05
CVE-2025-9791,0.00096,0.27676,2025-10-05
CVE-2025-9789,0.00042,0.12632,2025-10-05
CVE-2025-9758,0.00032,0.08214,2025-10-05
CVE-2025-10779,0.00066,0.2078,2025-10-05
CVE-2025-10769,0.00058,0.18053,2025-10-05
CVE-2025-10768,0.00049,0.14939,2025-10-05
CVE-2025-10687,0.0003,0.07422,2025-10-05
CVE-2025-10097,0.0004,0.11631,2025-10-05
CVE-2025-9829,0.00042,0.1258,2025-10-06
CVE-2025-9794,0.00046,0.13995,2025-10-06
CVE-2025-9791,0.00096,0.27637,2025-10-06
CVE-2025-9789,0.00042,0.1258,2025-10-06
CVE-2025-9758,0.00032,0.08206,2025-10-06
CVE-2025-10779,0.00066,0.20752,2025-10-06
